id_saih,catch_skm,cap_mcm
E01,181.2,63.30
E06,1564.00, 165.81
E07,1773.15,223.58
E08,1799.00,1.30
E12,197.00,71.56
E13,304.99,24.41
E14,503.35,108.71
E16,293.32,3.37
E17,358.45,59.40
E18,60.40,12.01
E19,31.00,5.32
